nios2-terminal: connected to hardware target using JTAG UART on cable,,,,,
"nios2-terminal: ""USB-Blaster [USB-0]""", device 1, instance 0,,,
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate),,,,,
,,,,,
[INFO] lab mode is Interrupt,,,,,
[INFO] period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
[INFO] 1222,611,7490,254,0,0
[INFO] 1224,612,7494,254,0,0
[INFO] 1226,613,7494,254,0,0
[INFO] 1228,614,7504,254,0,0
[INFO] 1230,615,7510,254,0,0
[INFO] 1232,616,7517,254,0,0
[INFO] 1234,617,7518,254,0,0
[INFO] 1236,618,7525,254,0,0
[INFO] 1238,619,7525,254,0,0
[INFO] 1240,620,7532,254,0,0
[INFO] 1242,621,7537,254,0,0
[INFO] 1244,622,7543,254,0,0
[INFO] 1246,623,7548,254,0,0
[INFO] 1248,624,7555,254,0,0
[INFO] 1250,625,7558,254,0,0
[INFO] 1252,626,7563,254,0,0
[INFO] 1254,627,7562,254,0,0
[INFO] 1256,628,7572,254,0,0
[INFO] 1258,629,7577,254,0,0
[INFO] 1260,630,7580,254,0,0
[INFO] 1262,631,7593,254,0,0
[INFO] 1264,632,7581,254,0,0
[INFO] 1266,633,7592,254,0,0
[INFO] 1268,634,7598,254,0,0
[INFO] 1270,635,7603,254,0,0
[INFO] 1272,636,7605,254,0,0
[INFO] 1274,637,7611,254,0,0
[INFO] 1276,638,7627,254,0,0
[INFO] 1278,639,7619,254,0,0
[INFO] 1280,640,7626,254,0,0
[INFO] 1282,641,7630,254,0,0
[INFO] 1284,642,7633,254,0,0
[INFO] 1286,643,7638,254,0,0
[INFO] 1288,644,7639,254,0,0
[INFO] 1290,645,7646,254,0,0
[INFO] 1292,646,7652,254,0,0
[INFO] 1294,647,7712,254,0,0
[INFO] 1296,648,7668,254,0,0
[INFO] 1298,649,7689,254,0,0
[INFO] 1300,650,7680,254,0,0
[INFO] 1302,651,7684,254,0,0
[INFO] 1304,652,7686,254,0,0
[INFO] 1306,653,7688,254,0,0
[INFO] 1308,654,7687,254,0,0
[INFO] 1310,655,7690,254,0,0
[INFO] 1312,656,7694,254,0,0
[INFO] 1314,657,7697,254,0,0
[INFO] 1316,658,7698,254,0,0
[INFO] 1318,659,7709,254,0,0
[INFO] 1320,660,7713,254,0,0
[INFO] 1322,661,7712,254,0,0
[INFO] 1324,662,7717,254,0,0
[INFO] 1326,663,7726,254,0,0
[INFO] 1328,664,7731,254,0,0
[INFO] 1330,665,7730,254,0,0
[INFO] 1332,666,7735,254,0,0
[INFO] 1334,667,7740,254,0,0
[INFO] 1336,668,7743,254,0,0
[INFO] 1338,669,7758,254,0,0
[INFO] 1340,670,7748,254,0,0
[INFO] 1342,671,7758,254,0,0
[INFO] 1344,672,7757,254,0,0
[INFO] 1346,673,7765,254,0,0
[INFO] 1348,674,7769,254,0,0
[INFO] 1350,675,7774,254,0,0
[INFO] 1352,676,7777,254,0,0
[INFO] 1354,677,7782,254,0,0
[INFO] 1356,678,7782,254,0,0
[INFO] 1358,679,7791,254,0,0
[INFO] 1360,680,7791,254,0,0
[INFO] 1362,681,7795,254,0,0
[INFO] 1364,682,7807,254,0,0
[INFO] 1366,683,7795,254,0,0
[INFO] 1368,684,7803,254,0,0
[INFO] 1370,685,7812,254,0,0
[INFO] 1372,686,7816,254,0,0
[INFO] 1374,687,7818,254,0,0
[INFO] 1376,688,7825,254,0,0
[INFO] 1378,689,7824,254,0,0
[INFO] 1380,690,7828,254,0,0
[INFO] 1382,691,7835,254,0,0
[INFO] 1384,692,7840,254,0,0
[INFO] 1386,693,7843,254,0,0
[INFO] 1388,694,7846,254,0,0
[INFO] 1390,695,7852,254,0,0
[INFO] 1392,696,7853,254,0,0
