nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

lab mode is Polling
period, pulse_width, bg_tasks_run, avg_latency, missed, multi_pulses
1074, 537, 7432, 34, 1, 0
1076, 538, 7420, 33, 1, 0
1078, 539, 7408, 32, 1, 1
1080, 540, 7392, 32, 1, 0
1082, 541, 7380, 34, 1, 0
1084, 542, 7364, 33, 1, 0
1086, 543, 7352, 32, 1, 0
1088, 544, 7340, 32, 1, 1
1090, 545, 7324, 33, 1, 0
1092, 546, 7312, 32, 1, 0
1094, 547, 7300, 45, 1, 1
1096, 548, 7284, 34, 1, 0
1098, 549, 7272, 32, 1, 0
1100, 550, 7260, 33, 1, 1
1102, 551, 7244, 33, 1, 0
1104, 552, 7232, 34, 1, 0
1106, 553, 7220, 34, 1, 0
1108, 554, 7208, 32, 1, 1
1110, 555, 7192, 34, 1, 0
1112, 556, 7180, 32, 1, 0
1114, 557, 7168, 32, 1, 0
1116, 558, 7156, 34, 1, 1
1118, 559, 7144, 33, 1, 1
1120, 560, 7128, 29, 1, 0
1122, 561, 7116, 31, 1, 0
1124, 562, 7104, 34, 1, 0
1126, 563, 7092, 33, 1, 0
1128, 564, 7080, 34, 1, 1
1130, 565, 7068, 34, 1, 1
1132, 566, 7052, 35, 1, 0
1134, 567, 7040, 34, 1, 0
1136, 568, 7028, 33, 1, 0
1138, 569, 7016, 32, 1, 0
1140, 570, 7004, 33, 1, 0
1142, 571, 6992, 35, 1, 0
1144, 572, 6980, 32, 1, 0
1146, 573, 6968, 32, 1, 0
1148, 574, 6956, 33, 1, 0
1150, 575, 6944, 32, 1, 0
1152, 576, 6932, 34, 1, 0
1154, 577, 6920, 35, 1, 0
1156, 578, 6908, 33, 1, 0
1158, 579, 6896, 35, 1, 0
1160, 580, 6884, 32, 1, 0
1162, 581, 6872, 34, 1, 0
1164, 582, 6860, 31, 1, 0
1166, 583, 6848, 32, 1, 0
1168, 584, 6836, 33, 1, 0
1170, 585, 6824, 32, 1, 0
1172, 586, 6812, 40, 1, 0
1174, 587, 6800, 34, 1, 0
1176, 588, 6792, 32, 1, 1
1178, 589, 6780, 33, 1, 1
1180, 590, 6768, 34, 1, 0
1182, 591, 6756, 32, 1, 0
1184, 592, 6744, 32, 1, 0
1186, 593, 6732, 30, 1, 0
1188, 594, 6724, 33, 1, 1
1190, 595, 6712, 32, 1, 1
1192, 596, 6700, 34, 1, 0
1194, 597, 6688, 33, 1, 0
1196, 598, 6676, 33, 1, 0
1198, 599, 6668, 32, 1, 1
1200, 600, 6656, 34, 1, 1
1202, 601, 6644, 32, 1, 0
1204, 602, 6632, 33, 1, 0
1206, 603, 6620, 35, 1, 0
1208, 604, 6612, 34, 1, 1
1210, 605, 6600, 34, 1, 0
1212, 606, 6588, 31, 1, 0
1214, 607, 6580, 33, 1, 1
1216, 608, 6568, 33, 1, 0
1218, 609, 6556, 33, 1, 0
1220, 610, 6548, 34, 1, 1
1222, 611, 6536, 34, 1, 1
1224, 612, 8155, 33, 1, 0
1226, 613, 8140, 33, 1, 0
1228, 614, 8130, 33, 1, 0
1230, 615, 8115, 33, 1, 0
1232, 616, 6484, 34, 1, 1
1234, 617, 8090, 34, 1, 0
1236, 618, 8075, 28, 1, 0
1238, 619, 8065, 30, 1, 1
1240, 620, 8050, 33, 1, 0
1242, 621, 6432, 32, 1, 1
1244, 622, 8025, 33, 1, 0
1246, 623, 8010, 32, 1, 0
1248, 624, 8000, 34, 1, 0
1250, 625, 7985, 31, 1, 0
1252, 626, 7975, 32, 1, 1
1254, 627, 7960, 31, 1, 0
1256, 628, 7950, 34, 1, 1
1258, 629, 7935, 33, 1, 0
1260, 630, 7925, 34, 1, 1
1262, 631, 7910, 35, 1, 0
1264, 632, 7900, 31, 1, 1
1266, 633, 7885, 32, 1, 0
1268, 634, 7875, 31, 1, 1
1270, 635, 7860, 33, 1, 0
1272, 636, 7850, 33, 1, 1
1274, 637, 7835, 32, 1, 0
1276, 638, 7825, 33, 1, 1
1278, 639, 7810, 33, 1, 0
1280, 640, 7800, 32, 1, 0
1282, 641, 7785, 34, 1, 0
1284, 642, 7775, 33, 1, 0
1286, 643, 7765, 35, 1, 1
1288, 644, 7750, 33, 1, 0
1290, 645, 7740, 32, 1, 1
1292, 646, 7725, 33, 1, 0
1294, 647, 7715, 31, 1, 0
1296, 648, 7705, 33, 1, 1
1298, 649, 7690, 32, 1, 0
1300, 650, 7680, 32, 1, 0
1302, 651, 7665, 33, 1, 0
1304, 652, 7655, 32, 1, 0
1306, 653, 7645, 33, 1, 0
1308, 654, 7630, 33, 1, 0
1310, 655, 7620, 31, 1, 0
1312, 656, 7610, 33, 1, 0
1314, 657, 7600, 38, 1, 1
1316, 658, 7585, 32, 1, 0
1318, 659, 7575, 32, 1, 0
1320, 660, 7565, 31, 1, 1
1322, 661, 7550, 32, 1, 0
1324, 662, 7540, 32, 1, 0
1326, 663, 7530, 32, 1, 0
1328, 664, 7520, 33, 1, 1
1330, 665, 7505, 32, 1, 0
1332, 666, 7495, 32, 1, 0
1334, 667, 7485, 34, 1, 0
1336, 668, 7475, 31, 1, 1
1338, 669, 7460, 35, 1, 0
1340, 670, 7450, 35, 1, 0
1342, 671, 7440, 31, 1, 0
